[2026-04-23 22:00:50] === Swingbench Oracle Load Generation ===
[2026-04-23 22:00:50] Connect string: //localhost:1521/FREEPDB1
[2026-04-23 22:00:50] Schema: soe
[2026-04-23 22:00:50] Users: 4
[2026-04-23 22:00:50] Scale: 1
[2026-04-23 22:00:50] Runtime: 900 seconds (0:15)
[2026-04-23 22:00:50] Config file: /tmp/SOE_Server_Side_V2.xml
[2026-04-23 22:00:50] Dropping existing Swingbench schema if present
[2026-04-23 22:00:52] Creating Swingbench SOE schema
[33;1mSwingBench Wizard[m
[34mAuthor  :[m	[34;1mDominic Giles[m
[34mVersion :[m	[34;1m2.7.0.1561[m

[37;2mRunning in Lights Out Mode using config file : ../wizardconfigs/oewizard.xml[m

[33;1mData Generation Runtime Metrics[m
+-------------------------+-------------+
|[1;33m Description             [m|[1;36m Value       [m|
+-------------------------+-------------+
|[33m Connection Time         [m|[1;36m 0:00:00.002 [m|
|[33m Data Generation Time    [m|[1;36m 0:00:48.407 [m|
|[33m DDL Creation Time       [m|[1;36m 0:01:00.455 [m|
|[33m Total Run Time          [m|[1;36m 0:01:48.867 [m|
|[33m Rows Inserted per sec   [m|[1;36m 327,736     [m|
|[33m Actual Rows Generated   [m|[1;36m 15,886,269  [m|
|[33m Commits Completed       [m|[1;36m 1,071       [m|
|[33m Batch Updates Completed [m|[1;36m 79,719      [m|
+-------------------------+-------------+

[33;1mValidation Report [m
[32mThe schema appears to have been created[m [32;1msuccessfully.[m

[33;1mValid Objects[m
[32;1mValid Tables :[m [36m'ORDERS','ORDER_ITEMS','CUSTOMERS','WAREHOUSES','ORDERENTRY_METADATA','INVENTORIES','PRODUCT_INFORMATION','PRODUCT_DESCRIPTIONS','ADDRESSES','CARD_DETAILS'[m[32;1m
Valid Indexes :[m [36m'PRD_DESC_PK','PROD_NAME_IX','PRODUCT_INFORMATION_PK','PROD_SUPPLIER_IX','PROD_CATEGORY_IX','INVENTORY_PK','INV_PRODUCT_IX','INV_WAREHOUSE_IX','ORDER_PK','ORD_SALES_REP_IX','ORD_CUSTOMER_IX','ORD_ORDER_DATE_IX','ORD_WAREHOUSE_IX','ORDER_ITEMS_PK','ITEM_ORDER_IX','ITEM_PRODUCT_IX','WAREHOUSES_PK','WHS_LOCATION_IX','CUSTOMERS_PK','CUST_EMAIL_IX','CUST_ACCOUNT_MANAGER_IX','CUST_FUNC_LOWER_NAME_IX','ADDRESS_PK','ADDRESS_CUST_IX','CARD_DETAILS_PK','CARDDETAILS_CUST_IX'[m[32;1m
Valid Views :[m [36m'PRODUCTS','PRODUCT_PRICES'[m[32;1m
Valid Sequences :[m [36m'CUSTOMER_SEQ','ORDERS_SEQ','ADDRESS_SEQ','LOGON_SEQ','CARD_DETAILS_SEQ'[m[32;1m
Valid Code :[m [36m'ORDERENTRY'[m
[36;1mSchema Created[m
[2026-04-23 22:02:43] Running charbench workload
Swingbench 
Author  :  	 Dominic Giles 
Version :  	 2.7.0.1561  

Results will be written to /tmp/swingbench/results.xml 
Expected Benchmark Runtime is set to 15 minutes. 

Time      Users       TPM      TPS     Errors   NCR    UCD    BP     OP     PO     BO     SQ     WQ     WA     
22:08:06  [4/4]       87219    1847    0        1      0      2      5      1      1      0      0      0      
22:08:07  [4/4]       87687    1599    0        1      0      2      6      8      1      0      0      0      
22:08:08  [4/4]       87742    1229    0        1      0      1      7      11     1      0      0      0      
22:08:09  [4/4]       87359    1246    0        4      0      1      6      11     1      0      0      0      
22:08:10  [4/4]       86928    1443    0        1      0      1      4      1      1      0      0      0      
22:08:11  [4/4]       87591    1862    0        1      0      1      6      1      1      0      0      0      
22:08:12  [4/4]       87561    1376    0        1      0      2      7      1      1      0      0      0      
22:08:13  [4/4]       87492    1159    0        1      0      2      7      1      1      0      0      0      
22:08:14  [4/4]       87025    1203    0        1      0      2      4      1      1      0      0      0      
22:08:15  [4/4]       86987    1763    0        1      0      1      5      1      1      0      0      0      
22:08:16  [4/4]       87554    1760    0        1      0      1      5      8      0      0      0      0      
22:08:17  [4/4]       87575    1271    0        1      0      1      7      1      10     0      0      0      
22:08:18  [4/4]       87545    1239    0        1      0      2      8      1      1      0      0      0      
22:08:19  [4/4]       86823    1143    0        1      0      1      4      1      1      0      0      0      
22:08:20  [4/4]       87111    1828    0        3      0      1      6      1      1      0      0      0      
22:08:21  [4/4]       87549    1673    0        3      0      1      7      1      1      0      0      0      
22:08:22  [4/4]       87518    1202    0        1      0      4      5      1      1      0      0      0      
22:08:23  [4/4]       87244    1204    0        1      0      1      8      1      1      0      0      0      
22:08:24  [4/4]       86890    1491    0        1      0      1      4      1      1      0      0      0      
22:08:25  [4/4]       87345    1850    0        3      0      2      4      1      1      0      0      0      
22:08:26  [4/4]       87445    1307    0        1      0      4      5      1      1      0      0      0      
22:08:27  [4/4]       87473    1232    0        8      0      1      6      1      1      0      0      0      
22:08:28  [4/4]       87205    1339    0        3      0      2      6      1      1      0      0      0      
22:08:29  [4/4]       86930    1550    0        1      0      1      4      1      1      0      0      0      
22:08:30  [4/4]       87600    1844    0        1      3      1      4      1      7      0      0      0      
22:08:31  [4/4]       87652    1281    0        8      5      1      5      1      1      0      0      0      
22:08:32  [4/4]       87622    1229    0        4      0      1      6      12     1      0      0      0      
22:08:33  [4/4]       86999    1247    0        1      0      1      4      1      1      0      0      0      
22:08:34  [4/4]       87164    1822    0        1      3      1      6      1      1      0      0      0      
22:08:35  [4/4]       87672    1720    0        4      0      2      5      1      1      0      0      0      
22:08:36  [4/4]       87531    1162    0        1      0      1      6      13     10     0      0      0      
22:08:37  [4/4]       87031    1115    0        1      0      2      7      1      1      0      0      0      
22:08:38  [4/4]       86646    1509    0        1      0      1      4      1      1      0      0      0      
22:08:39  [4/4]       87014    1858    0        5      0      1      4      8      1      0      0      0      
22:08:40  [4/4]       87209    1488    0        1      0      1      8      1      1      0      0      0      
22:08:41  [4/4]       87385    1404    0        3      0      1      5      1      1      0      0      0      
22:08:42  [4/4]       87019    1230    0        4      0      3      5      1      1      0      0      0      
22:08:43  [4/4]       86706    1580    0        1      0      1      4      1      1      0      0      0      
22:08:44  [4/4]       87257    1838    0        1      0      1      6      1      1      0      0      0      
22:08:45  [4/4]       87306    1313    0        5      0      1      7      1      1      0      0      0      
22:08:46  [4/4]       87331    1265    0        1      6      1      7      1      1      0      0      0      
22:08:47  [4/4]       86651    1150    0        1      0      1      4      1      1      0      0      0      
22:08:48  [4/4]       86764    1767    0        1      0      1      7      1      1      0      0      0      
22:08:49  [4/4]       87322    1778    0        1      0      1      6      1      0      0      0      0      
22:08:50  [4/4]       87168    1221    0        1      0      2      7      1      1      0      0      0      
22:08:51  [4/4]       87124    1250    0        4      0      1      7      1      1      0      0      0      
22:08:52  [4/4]       86670    1410    0        1      0      1      4      1      1      0      0      0      
22:08:53  [4/4]       86944    1785    0        1      0      1      6      1      1      0      0      0      
22:08:54  [4/4]       87455    1614    0        3      0      2      5      1      1      0      0      0      
22:08:55  [4/4]       87419    1200    0        4      0      2      6      1      1      0      0      0      
22:08:56  [4/4]       87080    1217    0        4      0      3      5      1      1      0      0      0      
22:08:57  [4/4]       86628    1415    0        1      0      1      4      1      1      0      0      0      
22:08:58  [4/4]       87283    1957    0        1      0      1      7      1      1      0      0      0      
22:08:59  [4/4]       87494    1392    0        1      0      2      6      10     1      0      0      0      
22:09:00  [4/4]       87478    1202    0        4      0      1      6      11     1      0      0      0      
22:09:01  [4/4]       86840    1211    0        8      0      1      6      1      1      0      0      0      
22:09:02  [4/4]       86631    1558    0        1      0      1      4      1      1      0      0      0      
22:09:03  [4/4]       86993    1760    0        4      0      1      6      1      1      0      0      0      
22:09:04  [4/4]       87076    1202    0        1      0      1      9      1      1      0      0      0      
22:09:05  [4/4]       87047    1237    0        1      0      1      9      1      1      0      0      0      
22:09:06  [4/4]       86549    1349    0        1      0      1      4      1      1      0      0      0      
22:09:07  [4/4]       86787    1837    0        1      3      1      5      1      1      0      0      0      
22:09:08  [4/4]       87386    1828    0        1      0      1      7      1      1      0      0      0      
22:09:09  [4/4]       87362    1222    0        4      0      1      7      1      1      0      0      0      
22:09:10  [4/4]       87135    1216    0        1      0      1      8      1      1      0      0      0      
22:09:11  [4/4]       86755    1482    0        1      0      1      4      1      1      0      0      0      
22:09:12  [4/4]       87256    1877    0        5      0      1      5      1      1      0      0      0      
22:09:13  [4/4]       87533    1436    0        1      0      2      7      1      1      0      0      0      
22:09:14  [4/4]       87653    1323    0        1      0      1      8      1      1      0      0      0      
22:09:15  [4/4]       87125    1235    0        1      0      2      5      9      11     0      0      0      
22:09:16  [4/4]       87033    1668    0        1      0      1      4      1      1      0      0      0      
22:09:17  [4/4]       87671    1909    0        1      0      1      5      8      1      0      0      0      
22:09:18  [4/4]       87651    1219    0        1      0      1      9      1      1      0      0      0      
22:09:19  [4/4]       87913    1405    0        1      0      1      7      1      1      0      0      0      
22:09:20  [4/4]       87346    1261    0        1      0      1      4      1      1      0      0      0      
22:09:21  [4/4]       87434    1761    0        1      0      1      6      1      6      0      0      0      
22:09:22  [4/4]       87965    1733    0        4      0      1      6      1      1      0      0      0      
22:09:23  [4/4]       87920    1159    0        1      0      1      9      1      1      0      0      0      
22:09:24  [4/4]       87656    1227    0        1      0      1      7      10     1      0      0      0      
22:09:25  [4/4]       87208    1402    0        1      0      1      4      1      1      0      0      0      
22:09:26  [4/4]       87755    1854    0        1      0      1      6      1      1      0      0      0      
22:09:27  [4/4]       88012    1489    0        1      0      1      7      1      9      0      0      0      
22:09:28  [4/4]       87927    1254    0        1      0      1      9      1      1      0      0      0      
22:09:29  [4/4]       87621    1244    0        1      0      2      7      1      1      0      0      0      
22:09:30  [4/4]       87481    1704    0        1      0      1      4      1      1      0      0      0      
22:09:31  [4/4]       88110    1910    0        1      0      2      5      1      1      0      0      0      
22:09:32  [4/4]       88297    1416    0        3      0      1      6      1      1      0      0      0      
22:09:33  [4/4]       88311    1261    0        1      0      1      7      1      10     0      0      0      
22:09:34  [4/4]       87773    1284    0        9      5      1      3      1      1      0      0      0      
22:09:35  [4/4]       87791    1738    0        1      0      1      4      1      1      0      0      0      
22:09:36  [4/4]       88437    1808    0        1      0      1      6      8      1      0      0      0      
22:09:37  [4/4]       88514    1192    0        1      0      1      7      1      10     0      0      0      
22:09:38  [4/4]       88251    1246    0        1      0      2      7      1      1      0      0      0      
22:09:39  [4/4]       87742    1349    0        1      0      1      4      1      1      0      0      0      
22:09:40  [4/4]       88085    1831    0        1      0      1      6      1      1      0      0      0      
22:09:41  [4/4]       88098    1417    0        1      0      1      8      1      1      0      0      0      
22:09:42  [4/4]       88039    1171    0        1      0      3      6      1      1      0      0      0      
22:09:43  [4/4]       87686    1227    0        1      0      2      7      1      1      0      0      0      
22:09:44  [4/4]       87451    1603    0        1      0      1      4      1      1      0      0      0      
22:09:45  [4/4]       87943    1805    0        3      0      1      6      1      1      0      0      0      
22:09:46  [4/4]       88087    1409    0        1      0      1      9      1      1      0      0      0      
22:09:47  [4/4]       88143    1206    0        1      0      2      6      1      11     0      0      0      
22:09:48  [4/4]       87594    1218    0        1      0      1      8      1      1      0      0      0      
22:09:49  [4/4]       87574    1758    0        1      0      1      4      1      1      0      0      0      
22:09:50  [4/4]       88204    1851    0        3      0      1      6      1      1      0      0      0      
22:09:51  [4/4]       88198    1244    0        4      0      2      6      1      1      0      0      0      
22:09:52  [4/4]       88057    1269    0        1      0      3      6      1      1      0      0      0      
22:09:53  [4/4]       87546    1274    0        1      0      1      4      1      1      0      0      0      
22:09:54  [4/4]       87891    1959    0        1      0      1      6      1      1      0      0      0      
22:09:55  [4/4]       88295    1604    0        1      0      2      5      1      1      0      0      0      
22:09:56  [4/4]       88307    1229    0        8      0      2      5      1      1      0      0      0      
22:09:57  [4/4]       88265    1373    0        1      0      1      6      1      1      0      0      0      
22:09:58  [4/4]       87799    1491    0        1      0      1      4      1      1      0      0      0      
22:09:59  [4/4]       88254    1847    0        1      0      2      5      1      1      0      0      0      
22:10:00  [4/4]       88593    1541    0        1      0      2      6      8      1      0      0      0      
22:10:01  [4/4]       88614    1232    0        4      0      1      6      1      8      0      0      0      
22:10:02  [4/4]       88262    1206    0        1      0      1      7      1      10     0      0      0      
22:10:03  [4/4]       88149    1647    0        1      0      1      4      1      1      0      0      0      
22:10:04  [4/4]       88829    1882    0        1      0      1      6      1      1      0      0      0      
22:10:05  [4/4]       88820    1228    0        4      0      1      7      1      1      0      0      0      
22:10:06  [4/4]       88710    1239    0        1      0      1      6      10     10     0      0      0      
22:10:07  [4/4]       88162    1289    0        1      0      1      4      1      1      0      0      0      
22:10:08  [4/4]       88263    1929    0        1      0      1      6      1      1      0      0      0      
22:10:09  [4/4]       88637    1596    0        1      0      2      7      1      1      0      0      0      
22:10:10  [4/4]       88790    1369    0        1      0      1      7      1      1      0      0      0      
22:10:11  [4/4]       88497    1189    0        1      0      3      6      1      1      0      0      0      
22:10:12  [4/4]       87942    1322    0        1      0      1      4      1      1      0      0      0      
22:10:13  [4/4]       88234    1728    0        4      0      3      5      4      1      0      0      0      
22:10:14  [4/4]       88502    1591    0        3      0      1      6      1      1      0      0      0      
22:10:15  [4/4]       88473    1206    0        1      0      2      6      1      13     0      0      0      
22:10:16  [4/4]       87976    1171    0        1      0      2      7      1      1      0      0      0      
22:10:17  [4/4]       87716    1649    0        1      0      1      4      1      1      0      0      0      
22:10:18  [4/4]       88325    1828    0        1      0      1      7      1      1      0      0      0      
22:10:19  [4/4]       88139    1219    0        1      0      3      6      1      1      0      0      0      
22:10:20  [4/4]       88049    1171    0        1      0      3      6      1      1      0      0      0      
22:10:21  [4/4]       87455    1167    0        1      0      1      4      1      1      0      0      0      
22:10:22  [4/4]       87562    1840    0        3      0      1      5      1      1      0      0      0      
22:10:23  [4/4]       88205    1802    0        1      0      1      6      1      1      0      0      0      
22:10:24  [4/4]       88135    1157    0        1      0      1      9      1      1      0      0      0      
22:10:25  [4/4]       87925    1192    0        1      0      3      6      1      1      0      0      0      
