[2026-04-23 11:25:35] === Oracle Database Workload Execution ===
[2026-04-23 11:25:35] Duration: 120 seconds
[2026-04-23 11:25:35] Target PDB: FREEPDB1
[2026-04-23 11:25:35] Batch size: 100
[2026-04-23 11:25:35] Workers: 4
[2026-04-23 11:25:35] Verifying database connection...
[2026-04-23 11:25:35] Database status: OPEN
[2026-04-23 11:25:35] PDB FREEPDB1 status: READ WRITE
[2026-04-23 11:25:35] Creating benchmark schema...
[2026-04-23 11:25:36] Benchmark schema created with 10,000 initial orders
[2026-04-23 11:25:36] Creating workload procedure...
[2026-04-23 11:25:37] Workload procedure created
[2026-04-23 11:25:37] Starting workload execution (120 seconds)...
Workload started at: 2026-04-23 11:25:37
Iteration 7400: Inserts=222000, Updates=148000, Selects=370000, Elapsed=15s
Iteration 7500: Inserts=225000, Updates=150000, Selects=375000, Elapsed=15s
Iteration 7600: Inserts=228000, Updates=152000, Selects=380000, Elapsed=15s
Iteration 7700: Inserts=231000, Updates=154000, Selects=385000, Elapsed=15s
Iteration 7800: Inserts=234000, Updates=156000, Selects=390000, Elapsed=16s
Iteration 7900: Inserts=237000, Updates=158000, Selects=395000, Elapsed=16s
Iteration 8000: Inserts=240000, Updates=160000, Selects=400000, Elapsed=16s
Iteration 8100: Inserts=243000, Updates=162000, Selects=405000, Elapsed=16s
Iteration 8200: Inserts=246000, Updates=164000, Selects=410000, Elapsed=16s
Iteration 8300: Inserts=249000, Updates=166000, Selects=415000, Elapsed=17s
Iteration 8400: Inserts=252000, Updates=168000, Selects=420000, Elapsed=17s
Iteration 8500: Inserts=255000, Updates=170000, Selects=425000, Elapsed=17s
Iteration 8600: Inserts=258000, Updates=172000, Selects=430000, Elapsed=17s
Iteration 8700: Inserts=261000, Updates=174000, Selects=435000, Elapsed=18s
Iteration 8800: Inserts=264000, Updates=176000, Selects=440000, Elapsed=18s
Iteration 8900: Inserts=267000, Updates=178000, Selects=445000, Elapsed=18s
Iteration 9000: Inserts=270000, Updates=180000, Selects=450000, Elapsed=18s
Iteration 9100: Inserts=273000, Updates=182000, Selects=455000, Elapsed=19s
Iteration 9200: Inserts=276000, Updates=184000, Selects=460000, Elapsed=19s
Iteration 9300: Inserts=279000, Updates=186000, Selects=465000, Elapsed=19s
Iteration 9400: Inserts=282000, Updates=188000, Selects=470000, Elapsed=19s
Iteration 9500: Inserts=285000, Updates=190000, Selects=475000, Elapsed=19s
Iteration 9600: Inserts=288000, Updates=192000, Selects=480000, Elapsed=20s
Iteration 9700: Inserts=291000, Updates=194000, Selects=485000, Elapsed=20s
Iteration 9800: Inserts=294000, Updates=196000, Selects=490000, Elapsed=20s
Iteration 9900: Inserts=297000, Updates=198000, Selects=495000, Elapsed=20s
Iteration 10000: Inserts=300000, Updates=200000, Selects=500000, Elapsed=21s
Iteration 10100: Inserts=303000, Updates=202000, Selects=505000, Elapsed=21s
Iteration 10200: Inserts=306000, Updates=204000, Selects=510000, Elapsed=21s
Iteration 10300: Inserts=309000, Updates=206000, Selects=515000, Elapsed=21s
Iteration 10400: Inserts=312000, Updates=208000, Selects=520000, Elapsed=21s
Iteration 10500: Inserts=315000, Updates=210000, Selects=525000, Elapsed=22s
Iteration 10600: Inserts=318000, Updates=212000, Selects=530000, Elapsed=23s
Iteration 10700: Inserts=321000, Updates=214000, Selects=535000, Elapsed=23s
Iteration 10800: Inserts=324000, Updates=216000, Selects=540000, Elapsed=23s
Iteration 10900: Inserts=327000, Updates=218000, Selects=545000, Elapsed=23s
Iteration 11000: Inserts=330000, Updates=220000, Selects=550000, Elapsed=24s
Iteration 11100: Inserts=333000, Updates=222000, Selects=555000, Elapsed=24s
Iteration 11200: Inserts=336000, Updates=224000, Selects=560000, Elapsed=24s
Iteration 11300: Inserts=339000, Updates=226000, Selects=565000, Elapsed=24s
Iteration 11400: Inserts=342000, Updates=228000, Selects=570000, Elapsed=25s
Iteration 11500: Inserts=345000, Updates=230000, Selects=575000, Elapsed=25s
Iteration 11600: Inserts=348000, Updates=232000, Selects=580000, Elapsed=25s
Iteration 11700: Inserts=351000, Updates=234000, Selects=585000, Elapsed=25s
Iteration 11800: Inserts=354000, Updates=236000, Selects=590000, Elapsed=25s
Iteration 11900: Inserts=357000, Updates=238000, Selects=595000, Elapsed=26s
Iteration 12000: Inserts=360000, Updates=240000, Selects=600000, Elapsed=26s
Iteration 12100: Inserts=363000, Updates=242000, Selects=605000, Elapsed=26s
Iteration 12200: Inserts=366000, Updates=244000, Selects=610000, Elapsed=26s
Iteration 12300: Inserts=369000, Updates=246000, Selects=615000, Elapsed=27s
Iteration 12400: Inserts=372000, Updates=248000, Selects=620000, Elapsed=27s
Iteration 12500: Inserts=375000, Updates=250000, Selects=625000, Elapsed=27s
Iteration 12600: Inserts=378000, Updates=252000, Selects=630000, Elapsed=27s
Iteration 12700: Inserts=381000, Updates=254000, Selects=635000, Elapsed=28s
Iteration 12800: Inserts=384000, Updates=256000, Selects=640000, Elapsed=28s
Iteration 12900: Inserts=387000, Updates=258000, Selects=645000, Elapsed=28s
Iteration 13000: Inserts=390000, Updates=260000, Selects=650000, Elapsed=28s
Iteration 13100: Inserts=393000, Updates=262000, Selects=655000, Elapsed=29s
Iteration 13200: Inserts=396000, Updates=264000, Selects=660000, Elapsed=29s
Iteration 13300: Inserts=399000, Updates=266000, Selects=665000, Elapsed=29s
Iteration 13400: Inserts=402000, Updates=268000, Selects=670000, Elapsed=29s
Iteration 13500: Inserts=405000, Updates=270000, Selects=675000, Elapsed=29s
